name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,start_date,end_date
hot girl bummer,everything means nothing,blackbear,2020-08-21,188343,87,0.782,0.125,0.782,0.559,0.0,0.385,-7.106,0.0767,129.992,1,2020-10-02,2020-10-09
GO (feat. Juice WRLD),F*CK LOVE,The Kid LAROI,2020-07-24,181688,84,0.487,0.157,0.487,0.74,0.0,0.612,-4.973,0.0944,73.779,4,2020-10-02,2020-10-09
Intentions (feat. Quavo),Changes,Justin Bieber,2020-02-14,212866,83,0.806,0.3,0.806,0.546,0.0,0.102,-6.637,0.0575,147.986,4,2020-10-02,2020-10-09
Crazy Over You,THE ALBUM,BLACKPINK,2020-10-02,161946,77,0.805,0.0383,0.805,0.66,8.66e-05,0.189,-5.393,0.0762,114.951,4,2020-10-02,2020-10-09
Years Go By,A N N I V E R S A R Y,Bryson Tiller,2020-10-02,179976,67,0.374,0.0279,0.374,0.577,5.6e-06,0.562,-7.085,0.302,184.201,4,2020-10-02,2020-10-09
UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2020-07-24,232253,92,0.571,0.00536,0.571,0.693,0.0,0.173,-8.234,0.0545,168.169,4,2020-10-02,2020-10-09
SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,312820,88,0.834,0.00513,0.834,0.73,0.0,0.124,-3.714,0.222,155.008,4,2020-10-02,2020-10-09
Sweater Weather,I Love You.,The Neighbourhood,2013-04-19,240400,89,0.612,0.0495,0.612,0.807,0.0177,0.101,-2.81,0.0336,124.053,4,2020-10-02,2020-10-09
Sunday Best,Where the Light Is,Surfaces,2019-01-06,158571,86,0.878,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,112.022,4,2020-10-02,2020-10-09
If the World Was Ending - feat. Julia Michaels,If the World Was Ending (feat. Julia Michaels),JP Saxe,2019-10-17,208687,88,0.464,0.866,0.464,0.473,0.0,0.109,-10.086,0.129,75.801,4,2020-10-02,2020-10-09
WHATS POPPIN,Sweet Action,Jack Harlow,2020-03-13,139741,85,0.923,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,145.062,4,2020-10-02,2020-10-09
Chasin' You,If I Know Me,Morgan Wallen,2018-04-27,205453,80,0.631,0.657,0.631,0.591,0.0,0.11,-5.785,0.0277,97.074,4,2020-10-02,2020-10-09
Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),Juice WRLD,2019-10-04,189322,85,0.474,0.0687,0.474,0.631,0.0,0.132,-5.884,0.343,180.051,4,2020-10-02,2020-10-09
Dior,Meet The Woo,Pop Smoke,2019-07-26,216386,86,0.548,0.212,0.548,0.805,0.000389,0.408,-5.732,0.351,142.094,4,2020-10-02,2020-10-09
You Got It,For You,Vedo,2020-03-27,201586,86,0.774,0.297,0.774,0.376,0.0,0.165,-9.372,0.208,122.089,4,2020-10-02,2020-10-09
Always Forever,A N N I V E R S A R Y,Bryson Tiller,2020-10-02,170053,68,0.605,0.168,0.605,0.489,2.36e-06,0.187,-7.234,0.174,147.341,4,2020-10-02,2020-10-09
Mad at Disney,Mad at Disney,salem ilese,2020-07-24,136838,87,0.738,0.424,0.738,0.621,7.39e-06,0.692,-7.313,0.0486,113.968,4,2020-10-02,2020-10-09
Love To Hate Me,THE ALBUM,BLACKPINK,2020-10-02,169800,77,0.68,0.0368,0.68,0.656,0.0,0.101,-4.539,0.138,162.177,4,2020-10-02,2020-10-09
More Than My Hometown,More Than My Hometown,Morgan Wallen,2020-04-17,216573,81,0.621,0.601,0.621,0.882,0.0,0.132,-5.01,0.0459,126.014,4,2020-10-02,2020-10-09
THE SCOTTS,THE SCOTTS,THE SCOTTS,2020-04-24,165977,86,0.716,0.233,0.716,0.537,0.0,0.157,-7.648,0.0514,129.979,4,2020-10-02,2020-10-09
Jocelyn Flores,17,XXXTENTACION,2017-08-25,119133,88,0.872,0.469,0.872,0.391,4.13e-06,0.297,-9.144,0.242,134.021,4,2020-10-02,2020-10-09
Rain On Me (with Ariana Grande),Chromatica,Lady Gaga,2020-05-29,182200,82,0.672,0.021,0.672,0.855,0.0,0.323,-3.764,0.0397,123.056,4,2020-10-02,2020-10-09
ROXANNE,ROXANNE,Arizona Zervas,2019-10-10,163636,88,0.621,0.0522,0.621,0.601,0.0,0.46,-5.616,0.148,116.735,5,2020-10-02,2020-10-09
Ballin' (with Roddy Ricch),Perfect Ten,Mustard,2019-06-28,180434,85,0.809,0.392,0.809,0.545,0.0,0.151,-6.678,0.0735,97.008,4,2020-10-02,2020-10-09
Girls in the Hood,Girls in the Hood,Megan Thee Stallion,2020-06-26,154323,80,0.821,0.00824,0.821,0.863,0.0,0.0377,-3.159,0.353,180.013,4,2020-10-02,2020-10-09
Still Don't Know My Name,Euphoria (Original Score from the HBO Series),Labrinth,2019-10-04,153294,86,0.316,0.471,0.316,0.63,0.262,0.205,-5.963,0.117,89.643,1,2020-10-02,2020-10-09
Epidemic,Epidemic,Polo G,2020-09-25,177272,80,0.616,0.128,0.616,0.617,0.0,0.177,-8.431,0.52,175.929,4,2020-10-02,2020-10-09
Toosie Slide,Dark Lane Demo Tapes,Drake,2020-05-01,247058,80,0.83,0.289,0.83,0.49,3.04e-06,0.113,-8.82,0.209,81.604,4,2020-10-02,2020-10-09
Falling,Nicotine,Trevor Daniel,2020-03-26,159381,79,0.784,0.123,0.784,0.43,0.0,0.0887,-8.756,0.0364,127.087,4,2020-10-02,2020-10-09
